Query,UTC DateTime,Response
turn on the right lighttimezoneoffset=0,9/29/2017 21:35,"{""query"":""turn on the right lighttimezoneOffset=0"",""intents"":[{""intent"":""None"",""score"":0.468006462},{""intent"":""TurnOn"",""score"":0.369570553},{""intent"":""TurnAllOn"",""score"":0.00039646987},{""intent"":""TurnOff"",""score"":5.4621496E-06},{""intent"":""TurnAllOff"",""score"":2.37417862E-06}],""entities"":[]}"
turn on the left lighttimezoneoffset=0,9/29/2017 21:35,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left lighttimezoneoffset=0,9/29/2017 21:39,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left lighttimezoneoffset=0,9/29/2017 22:31,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turnonlight,9/30/2017 1:33,"{""query"":""turnonlight"",""intents"":[{""intent"":""None"",""score"":0.9893214},{""intent"":""TurnAllOff"",""score"":0.0150319906},{""intent"":""TurnAllOn"",""score"":0.009184999},{""intent"":""TurnOn"",""score"":2.60951265E-06},{""intent"":""TurnOff"",""score"":1.56272029E-06}],""entities"":[]}"
turnonlight,9/30/2017 1:39,"{""query"":""turnonlight"",""intents"":[{""intent"":""None"",""score"":0.9893214},{""intent"":""TurnAllOff"",""score"":0.0150319906},{""intent"":""TurnAllOn"",""score"":0.009184999},{""intent"":""TurnOn"",""score"":2.60951265E-06},{""intent"":""TurnOff"",""score"":1.56272029E-06}],""entities"":[]}"
turnonlight,9/30/2017 1:42,"{""query"":""turnonlight"",""intents"":[{""intent"":""None"",""score"":0.9893214},{""intent"":""TurnAllOff"",""score"":0.0150319906},{""intent"":""TurnAllOn"",""score"":0.009184999},{""intent"":""TurnOn"",""score"":2.60951265E-06},{""intent"":""TurnOff"",""score"":1.56272029E-06}],""entities"":[]}"
turnonlight,9/30/2017 1:43,"{""query"":""turnonlight"",""intents"":[{""intent"":""None"",""score"":0.9893214},{""intent"":""TurnAllOff"",""score"":0.0150319906},{""intent"":""TurnAllOn"",""score"":0.009184999},{""intent"":""TurnOn"",""score"":2.60951265E-06},{""intent"":""TurnOff"",""score"":1.56272029E-06}],""entities"":[]}"
turn on left light,9/30/2017 1:44,"{""query"":""turn on left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.964413762},{""intent"":""TurnAllOn"",""score"":0.05089218},{""intent"":""None"",""score"":0.0007406615},{""intent"":""TurnAllOff"",""score"":0.0005427821},{""intent"":""TurnOff"",""score"":1.39535621E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":8,""endIndex"":11,""score"":0.790521741}]}"
turn%20on%20left%20light,9/30/2017 4:21,"{""query"":""turn%20on%20left%20light"",""intents"":[{""intent"":""None"",""score"":0.7311957},{""intent"":""TurnOn"",""score"":0.00244925241},{""intent"":""TurnOff"",""score"":0.0003018733},{""intent"":""TurnAllOn"",""score"":0.00011321286},{""intent"":""TurnAllOff"",""score"":1.04384389E-05}],""entities"":[]}"
turn on left light,9/30/2017 4:22,"{""query"":""turn on left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.964413762},{""intent"":""TurnAllOn"",""score"":0.05089218},{""intent"":""None"",""score"":0.0007406615},{""intent"":""TurnAllOff"",""score"":0.0005427821},{""intent"":""TurnOff"",""score"":1.39535621E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":8,""endIndex"":11,""score"":0.790521741}]}"
turn on the left light,9/30/2017 4:24,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 4:35,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 4:58,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 8:36,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 8:46,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 8:59,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 9:04,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 9:07,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/30/2017 9:50,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,10/1/2017 17:19,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,10/1/2017 17:19,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,10/1/2017 17:35,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left lighttimezoneoffset=0,10/2/2017 20:52,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left lighttimezoneoffset=0,10/2/2017 20:56,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left lighttimezoneoffset=0,10/2/2017 20:56,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left lighttimezoneoffset=0,10/2/2017 20:56,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left light,10/2/2017 23:40,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,10/2/2017 23:44,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,10/2/2017 23:47,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,10/2/2017 23:47,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left lighttimezoneoffset=0,10/3/2017 0:13,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left lighttimezoneoffset=0,10/4/2017 5:14,"{""query"":""turn on the left lighttimezoneOffset=0"",""intents"":[{""intent"":""TurnOn"",""score"":0.792982638},{""intent"":""None"",""score"":0.110907368},{""intent"":""TurnAllOn"",""score"":0.000198318608},{""intent"":""TurnOff"",""score"":6.63503124E-06},{""intent"":""TurnAllOff"",""score"":2.45520755E-06}],""entities"":[]}"
turn on the left light,10/6/2017 21:28,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
